Indice di spopolamento,Indice di occupazione,Indice disoccupazione,Tipo di località_Altri comuni non altrimenti classificati,Tipo di località_Capoluogo senza specifici interessi turistici,Tipo di località_Città d'Arte,Tipo di località_Località collinari,Tipo di località_Località lacuali,Tipo di località_Località marine,Tipo di località_Località montane,Tipo di località_Località religiose,Tipo di località_Località termali,PC_Economica,PC_Metropoli,PC_Diversificata,PC_Qualita_Alta,PC_Business,PC_Balneare,PC_Montano,PC_Costiero_Minore,PC_Balneare_Massa,PC_Religioso_Culturale,PC_Lusso_Termale,PC_Enogastronomico,PC_Lacustre_Transito,Macroarea_Isole,Macroarea_Nord,Macroarea_Sud,Descrizione_Tipologia_di_Immobile_Abitazioni_di_tipo_economico,Descrizione_Tipologia_di_Immobile_Abitazioni_signorili,Descrizione_Tipologia_di_Immobile_Abitazioni_tipiche_dei_luoghi,Descrizione_Tipologia_di_Immobile_Ville_e_Villini,Media Costo alla Vendita
-252.0,34.4,28.47,False,False,False,True,False,False,False,False,False,-0.8963652866390001,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,True,True,False,False,False,422.5
-140.9,40.6,7.14,False,False,False,False,False,False,True,False,False,-0.7391918300589408,-1.8512341534482049,0.6684516035481578,-0.7841459732020081,-0.3750295577781115,0.4014069778720291,-0.2438490195614959,0.1273444134075912,-0.4474581362373356,-0.3315186618355628,-0.0541243598484638,0.2214570220251578,0.0487642316076658,False,True,False,True,False,False,False,460.0
-115.4,35.6,5.88,False,False,False,False,False,False,True,False,False,-0.8339991577097103,-1.6544388115659263,0.5416037732254313,-0.7172324493742313,-0.0421845070829584,0.6360664190357168,2.586386066294172,-0.0712622395058998,-1.3887343122862643,0.1018140610774333,-0.1088665123709767,0.0238935060030007,-0.3743864684869346,False,True,False,False,False,False,False,1000.0
-102.0,48.0,16.44,False,False,False,True,False,False,False,False,False,-0.8488507370176112,-1.876806129676578,0.7089453748263779,-0.8259383028376852,-0.3829316911966576,0.41031590768978,-0.2689086123886697,0.1062920135499061,-0.4894230708019137,-0.3072259998187386,0.1043322726761949,0.16714422367688,-0.0980620600371834,False,True,False,False,False,False,False,480.0
-101.2,35.7,13.04,True,False,False,False,False,False,False,False,False,-0.918847566917422,-1.801581999745653,0.7267200680309892,-0.9389389005086756,-0.3373562253189365,0.4262804928177877,-0.2230323107274352,0.1301651159420415,-0.4595869688595873,-0.2360141074259591,0.0600856462914953,0.1726269357837355,-0.0668200656465746,False,False,False,True,False,False,False,422.5
-88.0,27.5,31.67,True,False,False,False,False,False,False,False,False,-0.914835889242752,-1.838085326258747,0.7359300857126942,-0.8046427855915137,-0.4331061854565443,0.41721717771798,-0.210809471539909,0.0642699624277962,-0.2481673202983809,-0.0162925359491915,0.1279260826440723,0.2372944187125555,-0.0624540444047176,True,False,False,False,False,False,False,450.0
-87.1,34.5,7.74,True,False,False,False,False,False,False,False,False,-0.8712821767001449,-1.9086951210011225,0.7526230463593647,-0.9377755613551012,-0.459107525333126,0.4853814574777422,-0.2680332554926185,0.105170567848932,-0.5044311993835406,-0.2869605489605446,0.090700972831109,0.2073095524843569,-0.0359280566802569,False,False,True,True,False,False,False,325.0
-87.0,31.3,8.82,False,False,False,False,False,False,True,False,False,-0.8271096322744436,-1.8520233270991069,0.6713278490308815,-0.8453143355379461,-0.3679484340035568,0.5479997021252647,0.6288070004373372,0.027642551956438,-0.7975035532144807,-0.1608337050454436,0.0577439280126473,0.1324422003000073,-0.1201053157894291,False,True,False,False,False,False,False,920.0
-81.1,40.7,12.31,True,False,False,False,False,False,False,False,False,-0.7000527521066102,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,False,True,False,False,False,500.0
-76.6,48.9,5.69,False,False,False,False,True,False,False,False,False,-0.6649417274448978,-0.9051398182712432,0.3622511453189916,-0.5945792190938725,0.7894335024770003,-0.2722341709624946,1.0373599281026062,-0.0997606818712543,-0.0839506513207662,0.2024705392156441,-0.6603163256951504,0.0006170606491364,-0.1094897752442724,False,True,False,False,False,False,False,1000.0
-76.5,44.6,11.19,True,False,False,False,False,False,False,False,False,-0.7878299683047137,-1.7638457766837004,0.783623368805435,-1.0281288426859958,-0.2416857381607607,0.3865925848672877,-0.2471134725309111,0.1309251466290011,-0.4411563094465174,-0.2864592490032827,-0.014108385557582,0.2510917140635993,-0.1070388674601138,False,True,False,False,False,False,False,1045.0
-74.5,41.3,7.0,False,False,False,True,False,False,False,False,False,-0.860613034818955,-1.898677594527241,0.7578287185790479,-0.9010914313756722,-0.4593566358254871,0.4886669074114944,-0.2544450942987289,0.1154177482221469,-0.4478673109174738,-0.2130226989366376,0.0963233654657675,0.2464197170549488,-0.0593095311868832,False,False,False,False,False,False,True,890.0
-74.5,41.3,7.0,False,False,False,True,False,False,False,False,False,-0.860613034818955,-1.898677594527241,0.7578287185790479,-0.9010914313756722,-0.4593566358254871,0.4886669074114944,-0.2544450942987289,0.1154177482221469,-0.4478673109174738,-0.2130226989366376,0.0963233654657675,0.2464197170549488,-0.0593095311868832,False,False,False,True,False,False,False,675.0
-72.4,33.1,29.13,False,False,False,False,False,True,False,False,False,-0.8903324581711477,-1.2427372120367652,0.1020990576097411,0.5257064832843437,0.8980454175812012,-1.1328798668971805,0.3381722961460439,-0.3249767832604953,1.2520872793674325,0.3468160003555281,0.3033340954583131,-1.5252965479887346,0.3045867324117653,False,False,True,False,False,False,False,605.0
-72.4,33.1,29.13,False,False,False,False,False,True,False,False,False,-0.8903324581711477,-1.2427372120367652,0.1020990576097411,0.5257064832843437,0.8980454175812012,-1.1328798668971805,0.3381722961460439,-0.3249767832604953,1.2520872793674325,0.3468160003555281,0.3033340954583131,-1.5252965479887346,0.3045867324117653,False,False,True,True,False,False,False,567.5
-69.9,33.6,22.42,False,False,False,False,False,False,False,False,True,-0.8229098649434634,-1.3168625299036971,-0.0675377014376752,0.5857219671117743,0.5429954151862956,-0.7008087379152217,0.0141128543789915,0.1151509251901647,0.3542432968208741,-0.4306688495967138,-1.0686506946061811,-0.1141566305267395,0.2941206311497441,False,False,True,False,False,False,False,830.0
-69.1,41.8,16.61,True,False,False,False,False,False,False,False,False,-0.8532764642971469,-1.8069309435243224,0.7408446772199488,-0.7455609764486513,-0.4081094132309205,0.3553131989329098,-0.1795125981401073,0.017083594298823,-0.1119884199687817,0.1055530076907826,0.1516623359429757,0.1812811794572398,-0.0433248375906037,False,False,True,True,False,False,False,420.0
-68.5,22.9,14.0,False,False,False,False,False,False,False,False,False,-0.9178945730150048,-1.8949533598223325,0.7308680745376035,-0.8969904718171473,-0.4445138517707175,0.4547757300499235,-0.2405557824806503,0.0906749601616857,-0.4353233201467166,-0.228022601858846,0.1015106793994816,0.1980906739201725,-0.0263112359742245,False,True,False,False,False,False,False,925.0
-68.1,45.3,9.43,True,False,False,False,False,False,False,False,False,-0.7604327332001815,-1.6911423626616262,0.4487506344993822,-0.5137117812978891,-0.1616219196229495,0.4087527965280192,1.6933515094189278,0.1237836425251771,-1.0948537885520115,-0.0259737030187032,-0.2270349371935651,0.0123539551919137,-0.0748250762498643,False,False,False,True,False,False,False,975.0
-67.6,31.2,32.57,True,False,False,False,False,False,False,False,False,-0.912238886312065,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,True,True,False,False,False,325.0
-66.9,55.3,2.35,True,False,False,False,False,False,False,False,False,-0.7674086101184375,-1.4306566419040057,0.3126765113107412,-0.3554631467120028,0.2073653062779205,0.2824353632778278,2.083988010658359,-0.0097123042693429,-0.972122207063015,0.010899215878226,-0.4233360648113179,-0.070422450313694,-0.1069979759231234,False,True,False,False,False,False,False,1125.0
-66.9,55.3,2.35,True,False,False,False,False,False,False,False,False,-0.7674086101184375,-1.4306566419040057,0.3126765113107412,-0.3554631467120028,0.2073653062779205,0.2824353632778278,2.083988010658359,-0.0097123042693429,-0.972122207063015,0.010899215878226,-0.4233360648113179,-0.070422450313694,-0.1069979759231234,False,True,False,True,False,False,False,837.5
-65.5,41.7,12.17,True,False,False,False,False,False,False,False,False,-0.8185253338799561,-1.893437920724151,0.7429912892631386,-0.9362778306423511,-0.4551872963520537,0.4662245033059803,-0.2699603799926012,0.0800376472094996,-0.4868797631926346,-0.2753571535411315,0.0941458904198585,0.1846677537781958,-0.0289859364194021,False,False,False,False,False,False,False,535.0
-64.9,45.3,6.7,False,False,False,False,False,False,True,False,False,-0.6970180821997602,-1.9074507582533888,0.7517455158442103,-0.9368578037330364,-0.4577683485794034,0.4828283837193367,-0.2678353674686884,0.1017990252964516,-0.5012703016546695,-0.2852931568514306,0.0921966904200052,0.2039774903056757,-0.0348601520269271,False,True,False,False,False,False,False,890.0
-64.5,42.9,11.11,False,False,False,False,False,False,True,False,False,-0.6788903311958985,-1.8958726866484652,0.7585380354019501,-0.8935785940434435,-0.4573545934069399,0.4844226008485185,-0.2506409040539824,0.1135251325215257,-0.4331151992572726,-0.1982411486498567,0.0986750040949407,0.2459274692175386,-0.0595167314005843,False,True,False,False,False,False,False,645.0
-64.3,30.0,32.43,True,False,False,False,False,False,False,False,False,-0.8707004717047944,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,True,False,False,False,False,591.25
-63.4,37.4,17.14,False,False,False,True,False,False,False,False,False,-0.8228896525669276,-1.8930677787696897,0.7592473522248524,-0.8860657567112149,-0.4553525509883927,0.4801782942855426,-0.2468367138092358,0.1116325168209044,-0.4183630875970715,-0.1834595983630757,0.1010266427241139,0.2454352213801285,-0.0597239316142854,False,False,False,False,False,False,False,960.0
-63.4,37.4,17.14,False,False,False,True,False,False,False,False,False,-0.8228896525669276,-1.8930677787696897,0.7592473522248524,-0.8860657567112149,-0.4553525509883927,0.4801782942855426,-0.2468367138092358,0.1116325168209044,-0.4183630875970715,-0.1834595983630757,0.1010266427241139,0.2454352213801285,-0.0597239316142854,False,False,False,False,False,False,True,945.0
-63.0,30.4,20.0,True,False,False,False,False,False,False,False,False,-0.89772235715023,-1.909515373651974,0.7458386842975359,-0.912057599506633,-0.4456764555125905,0.4726054617758823,-0.2487699800929771,0.1077773148876797,-0.4638272071776108,-0.2579546376055388,0.104346536539076,0.2093042691923484,-0.0291430939234452,False,False,True,True,False,False,False,536.25
-62.8,48.1,8.5,True,False,False,False,False,False,False,False,False,-0.7301422580572801,-1.818957377392061,0.8007053612488308,-0.9775174662890712,-0.4935387218481215,0.3469384694675788,-0.2241379817142715,0.04394640611557,-0.4173663934155714,-0.2740169058372471,0.133116462543278,0.1412697890830183,-0.0588563203573101,False,True,False,False,False,False,False,840.0
-62.3,48.9,7.14,False,False,False,False,False,False,True,False,False,-0.7323282361694222,-1.7526937459421397,0.7920994926691902,-0.8742386873920134,-0.4822216602446322,0.3019865296591599,-0.1907252581432235,0.0072840806466474,-0.2189968993100076,-0.0450090032410615,0.1522616931563496,0.1759668851262567,-0.0918614032746556,False,True,False,False,False,False,False,920.0
-61.2,21.7,4.76,True,False,False,False,False,False,False,False,False,-0.8579851399203713,-1.9103710867689985,0.7474132399806924,-0.9162898134692032,-0.4488645721799664,0.4764451774597388,-0.2519288270984034,0.1087424070327413,-0.4724324051013046,-0.2631149157489715,0.1008412222641197,0.2105652936488579,-0.0314199539442119,False,False,False,False,False,False,False,397.5
